i,j,similarity,a_source_file,a_case_group,a_case_subgroup,a_instruction,b_source_file,b_case_group,b_case_subgroup,b_instruction
242,243,0.9709759,sede_electronica_ciudadano.csv,Sede electrónica,Padrón y datos personales - Modificación en Padrón,Puedes modificar tus datos del padrón online en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=18&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Padrón y datos personales - Certificados,Puedes solicitar certificados de padrón online en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=19&tipoVentana=&entidad=30007&idioma=1
279,283,0.9708508,transparencias.csv,Presupuestos participativos,MEMORIA PRESUPUESTOS PARTICIPATIVOS 2024,En este enlace tienes toda la información sobre memoria presupuestos participativos 2024: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjI4/30007,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2019,En este enlace tienes toda la información sobre presupuestos participativos 2019: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTY4/30007
241,243,0.9708495,sede_electronica_ciudadano.csv,Sede electrónica,Padrón y datos personales - Alta en Padrón,Puedes darte de alta en el padrón online en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=17&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Padrón y datos personales - Certificados,Puedes solicitar certificados de padrón online en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=19&tipoVentana=&entidad=30007&idioma=1
367,368,0.97081363,transparencias.csv,Servicios,Situación tráfico,En este enlace tienes toda la información sobre situación tráfico: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjM=/30007,transparencias.csv,Servicios,Situación medioambiental,En este enlace tienes toda la información sobre situación medioambiental: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjQ=/30007
325,328,0.9707152,transparencias.csv,"Urbanismo, obras públicas y medio ambiente",Planes y programas medioambientales,En este enlace tienes toda la información sobre planes y programas medioambientales: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANTE=/30007,transparencias.csv,"Urbanismo, obras públicas y medio ambiente",Indicadores urbanismo,En este enlace tienes toda la información sobre indicadores urbanismo: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANTQ=/30007
235,237,0.97071356,sede_electronica_ciudadano.csv,Sede electrónica,Información y atención ciudadana - Solicitud general y aportación de documentos,Puedes presentar una solicitud general o aportar documentos en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=11&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Información y atención ciudadana - Denuncias y reclamaciones,Puedes presentar una denuncia o reclamación en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=13&tipoVentana=&entidad=30007&idioma=1
256,258,0.9706327,sede_electronica_ciudadano.csv,Sede electrónica,Licencias y permisos - Licencias de actividad,Puedes solicitar una licencia de actividad en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=28&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Licencias y permisos - Ordenamiento urbanístico,Puedes realizar trámites de ordenamiento urbanístico en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=30&tipoVentana=&entidad=30007&idioma=1
233,236,0.9706139,sede_electronica_ciudadano.csv,Sede electrónica,Información y atención ciudadana - Cita previa,Puedes pedir cita previa en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=9&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Información y atención ciudadana - Quejas y sugerencias,Puedes presentar una queja o sugerencia en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=12&tipoVentana=&entidad=30007&idioma=1
286,289,0.9705596,transparencias.csv,Institucional,General (carpeta principal),En este enlace tienes toda la información sobre institucional: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANQ==/30007,transparencias.csv,Institucional,Agenda institucional,En este enlace tienes toda la información sobre agenda institucional: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMjA=/30007
277,281,0.97053033,transparencias.csv,Presupuestos participativos,General (carpeta principal),En este enlace tienes toda la información sobre presupuestos participativos: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2021,En este enlace tienes toda la información sobre presupuestos participativos 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007
