i,j,similarity,a_source_file,a_case_group,a_case_subgroup,a_instruction,b_source_file,b_case_group,b_case_subgroup,b_instruction
343,346,0.9868854,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2025,En este enlace tienes toda la información sobre 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMg==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2022,En este enlace tienes toda la información sobre 2022: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwOQ==/30007
278,282,0.98683965,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2025,En este enlace tienes toda la información sobre presupuestos participativos 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2020,En este enlace tienes toda la información sobre presupuestos participativos 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007
350,352,0.98674524,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2018,En este enlace tienes toda la información sobre 2018: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwNQ==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2016,En este enlace tienes toda la información sobre 2016: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgyMw==/30007
324,327,0.9866978,transparencias.csv,"Urbanismo, obras públicas y medio ambiente",Planeamiento urbanístico,En este enlace tienes toda la información sobre planeamiento urbanístico: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANTA=/30007,transparencias.csv,"Urbanismo, obras públicas y medio ambiente",Obras públicas e infraestructuras,En este enlace tienes toda la información sobre obras públicas e infraestructuras: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANTM=/30007
343,347,0.98625124,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2025,En este enlace tienes toda la información sobre 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMg==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2021,En este enlace tienes toda la información sobre 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwOA==/30007
256,257,0.98605573,sede_electronica_ciudadano.csv,Sede electrónica,Licencias y permisos - Licencias de actividad,Puedes solicitar una licencia de actividad en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=28&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Licencias y permisos - Actividades,Puedes tramitar actividades en la sede electrónica en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=29&tipoVentana=&entidad=30007&idioma=1
344,346,0.9859306,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2024,En este enlace tienes toda la información sobre 2024: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMQ==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2022,En este enlace tienes toda la información sobre 2022: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwOQ==/30007
255,258,0.98586845,sede_electronica_ciudadano.csv,Sede electrónica,Licencias y permisos - Licencias y permisos urbanísticos,Puedes solicitar licencias y permisos urbanísticos online en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=27&tipoVentana=&entidad=30007&idioma=1,sede_electronica_ciudadano.csv,Sede electrónica,Licencias y permisos - Ordenamiento urbanístico,Puedes realizar trámites de ordenamiento urbanístico en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=30&tipoVentana=&entidad=30007&idioma=1
348,352,0.9857364,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2020,En este enlace tienes toda la información sobre 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwNw==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2016,En este enlace tienes toda la información sobre 2016: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgyMw==/30007
278,283,0.98555726,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2025,En este enlace tienes toda la información sobre presupuestos participativos 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,transparencias.csv,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2019,En este enlace tienes toda la información sobre presupuestos participativos 2019: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTY4/30007
92,93,0.98542273,gestion_tributaria_ciudadano.csv,Gestión tributaria,OVT - Pagar impuestos,Puedes pagar tus impuestos online en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS/pagar,gestion_tributaria_ciudadano.csv,Gestión tributaria,OVT - Pagar tasas,Puedes pagar tasas municipales online en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS/tasas
344,347,0.9853679,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2024,En este enlace tienes toda la información sobre 2024: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMQ==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2021,En este enlace tienes toda la información sobre 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwOA==/30007
349,352,0.9851933,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2019,En este enlace tienes toda la información sobre 2019: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgwNg==/30007,transparencias.csv,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2016,En este enlace tienes toda la información sobre 2016: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgyMw==/30007
